sku,name,price_ex_vat,package
209000,"Molla MDM 6pz. x 2,5m Ø16mm c/cestello",225.0,1 pz
209001,"Molla MDM 1pz. da 2,5 m Ø16mm s/cestello",45.0,1 pz
209002,Molla MDM 3pz. x 5m Ø22mm c/cestello,375.0,1 pz
209003,Molla MDM 1pz. da 5m Ø22 mm s/cestello,125.0,1 pz
209004,Molla MDM 1pz. da 6m Ø8mm s/cestello,40.0,1 pz
210003,"Raccordo Adattatore Carotatrice MM 1/2"" - M16",11.9,1 pz
210200,"Raccordo Adattatore Carotatrice FM F1/2"" - M16",90.0,1 pz
210201,"Raccordo Adattatore Carotatrice 1/2""F - 1 1/4""M",62.0,1 pz
210202,"Dispositivo di guida assiale per foretti da 1 1/4""",119.0,1 pz
210203,Raccordo Adattatore Carotatrice FM M18 - M16,12.0,1 pz
210203.200,Raccordo Adattatore Carotatrice FM M18 - M16 200 mm,14.0,1 pz
210203.380,Raccordo Adattatore Carotatrice FM M18 - M16 380 mm ,22.0,1 pz
210204,Adattatore rapido M16 per punta SDS PLUS,195.0,1 pz
210205,"Adattatore foretti 1/2G(F) - 1""1/4 UNC(F) ",105.0,1 pz
210206,"Adattatore foretti 1/2G(M) - 1""1/4 UNC(M)",92.0,1 pz
210207,"Prolunga foretti 1""1/4 UNC - 300 mm",145.0,1 pz
210208,"Prolunga foretti 1""1/4 UNC - 500 mm",205.0,1 pz
210209," Prolunga foretti 1""1/4 UNC - 200 mm",116.0,1 pz
210210, Prolunga foretti M16 - 300 mm ,105.0,1 pz
210210.200,Prolunga foretti M16 - 200 mm  ,86.0,1 pz
210211,Mandrino di aspirazione per carotatrice M18,400.0,1 pz
210212,Serbatoio portatile acqua da 10l per carotatrice,400.0,1 pz
210213,Raccoglitore di polvere/acqua per carotatrice,180.0,1 pz
221510,Depressore Universale,2.0,1 pz
241468,Adattatore Ganascia M42 e M54,550.0,1 pz
241469,Ganascia M42,1500.0,1 pz
241470,Ganascia M54,1500.0,1 pz
272001,"Manovuotometro R422,R22,R407,R134a Blu (-1÷15)",15.0,1 pz
272002,"Manovuotometro R422,R22,R407,R134a Rosso (-1÷35)",15.0,1 pz
272003,Manovuotometro R410A Blu (-1÷38),15.0,1 pz
272004,Manovuotometro R410A Rosso (-1÷53),15.0,1 pz
272006,"Vacuometro Radiale 0÷1000 mbar, 1/8""",25.0,1 pz
272007,Manovuotometro R410A-R32 Blu (-1÷38),20.0,1 pz
272008,Manovuotometro R410A-R32 Rosso (-1÷53),20.0,1 pz
272009,Vacuometro Posteriore Inox 80mm,35.0,1 pz
272010,Vacuometro Posteriore Inox 50mm,27.0,1 pz
280100,Testina Espansore 10 mm,35.0,1 pz
280101,Testina Espansore 12 mm,35.0,1 pz
280102,Testina Espansore 14 mm,30.0,1 pz
280103,Testina Espansore 15 mm,64.6,1 pz
280104,Testina Espansore 16 mm,30.0,1 pz
280105,Testina Espansore 18 mm,30.0,1 pz
280106,Testina Espansore 22 mm,30.0,1 pz
280108,Testina Espansore 28 mm,30.0,1 pz
280110,Testina Espansore 35 mm,30.0,1 pz
280111,Testina Espansore 42 mm,30.0,1 pz
280112,"Testina Espansore 3/8""",30.0,1 pz
280113,"Testina Espansore 1/2""",35.0,1 pz
280114,"Testina Espansore 5/8""",30.0,1 pz
280115,"Testina Espansore 3/4""",30.0,1 pz
280116,"Testina Espansore 7/8""",30.0,1 pz
280117,"Testina Espansore 1""",30.0,1 pz
280118,"Testina Espansore 1 1/8""",30.0,1 pz
280120,"Testina Espansore 1 3/8""",75.0,1 pz
280122,"Testina Espansore 1 5/8""",30.0,1 pz
280800.032,Foretto Diamantato Laser  per carot. a secco M16 Ø32x150,118.0,1 pz
280800.037,Foretto Diamantato Laser per carot. a secco M16 Ø37x150,120.0,1 pz
280800.042,Foretto Diamantato Laser per carot. a secco M16 Ø42x150,122.0,1 pz
280800.052,Foretto Diamantato Laser per carot. a secco M16 Ø52x150,140.0,1 pz
280800.057,Foretto Diamantato Laser per carot. a secco M16 Ø57x150,157.0,1 pz
280800.062,Foretto Diamantato Laser per carot. a secco M16 Ø62x150,162.0,1 pz
280800.068,Foretto Diamantato Laser per carot. a secco M16 Ø68x150,173.0,1 pz
280800.072,Foretto Diamantato Laser per carot. a secco M16 Ø72x150,192.0,1 pz
280800.082,Foretto Diamantato Laser per carot. a secco M16 Ø82x150,200.0,1 pz
280800.092,Foretto Diamantato Laser per carot. a secco M16 Ø92x150,225.0,1 pz
280800.102,Foretto Diamantato Laser per carot. a secco M16 Ø102x150,230.0,1 pz
280800.107,Foretto Diamantato Laser per carot. a secco M16 Ø107x150,242.0,1 pz
280800.112,Foretto Diamantato Laser per carot. a secco M16 Ø112x150,245.0,1 pz
280800.127,Foretto Diamantato Laser per carot. a secco M16 Ø127x150,260.0,1 pz
280800.132,Foretto Diamantato Laser per carot. a secco M16 Ø132x150,265.0,1 pz
280800.142,Foretto Diamantato Laser per carot. a secco M16 Ø142x150,310.0,1 pz
280800.152,Foretto Diamantato Laser per carot. a secco M16 Ø152x150,315.0,1 pz
280800.157,Foretto Diamantato Laser per carot. a secco M16 Ø157x150,339.0,1 pz
280800.162,Foretto Diamantato Laser per carot. a secco M16 Ø162x150,360.0,1 pz
280800.182,Foretto Diamantato Laser per carot. a secco M16 Ø182x150,380.0,1 pz
280800.202,Foretto Diamantato Laser per carot. a secco M16 Ø202x150,385.0,1 pz
280810.032,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø32x320",140.0,1 pz
280810.037,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø37x320",130.0,1 pz
280810.042,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø42x320",154.0,1 pz
280810.052,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø52x320",174.0,1 pz
280810.057,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø57x320",179.0,1 pz
280810.062,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø62x320",182.0,1 pz
280810.068,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø68x320",185.0,1 pz
280810.072,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø72x320",199.0,1 pz
280810.082,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø82x320",217.0,1 pz
280810.092,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø92x320",240.0,1 pz
280810.102,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø102x320",263.0,1 pz
280810.107,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø107x320",265.0,1 pz
280810.112,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø112x320",265.0,1 pz
280810.122,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø122x320",290.0,1 pz
280810.127,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø127x320",315.0,1 pz
280810.142,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø142x320",370.0,1 pz
280810.152,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø152x320",400.0,1 pz
280810.162,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø162x320",430.0,1 pz
280810.182,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø182x320",560.0,1 pz
280810.202,"Foretto Diamantato Laser (secco/umido) 1 1/4"" Ø202x320",575.0,1 pz
280820.042,"Foretto Diamantato Laser (umido) 1 1/4"" Ø42x450",145.0,1 pz
280820.052,"Foretto Diamantato Laser (umido) 1 1/4"" Ø52x450",165.0,1 pz
